vagrant@vagrant-ubuntu-trusty-64:/opt/stack/opendaylight$ sudo tail -f /var/log/ apache2/keystone_access.log & echo $! >/opt/stack/status/stack/key-access.pid; f g || echo "key-access failed to start" | tee "/opt/stack/status/stack/key-access .failure"
[1] 17737
sudo tail -f /var/log/apache2/keystone_access.log
10.0.2.15 - - [11/Nov/2015:22:31:28 +0000] "GET /v3/projects/dc23190b3697437dba126b4ba31496eb HTTP/1.1" 200 260 "-" "python-keystoneclient" 10420(us)
10.0.2.15 - - [11/Nov/2015:22:31:28 +0000] "PUT /v3/projects/dc23190b3697437dba126b4ba31496eb/groups/32d072ede9a44d84a68d2f65e14c42c4/roles/4580378bd82941baaed3a2da0d132261 HTTP/1.1" 204 - "-" "python-keystoneclient" 25579(us)
10.0.2.15 - - [11/Nov/2015:22:31:28 +0000] "GET /v3/groups/32d072ede9a44d84a68d2f65e14c42c4 HTTP/1.1" 200 220 "-" "python-keystoneclient" 17752(us)
10.0.2.15 - - [11/Nov/2015:22:31:28 +0000] "GET /v3/projects/dc23190b3697437dba126b4ba31496eb HTTP/1.1" 200 260 "-" "python-keystoneclient" 12733(us)
10.0.2.15 - - [11/Nov/2015:22:31:28 +0000] "GET /v3/projects/dc23190b3697437dba126b4ba31496eb/groups/32d072ede9a44d84a68d2f65e14c42c4/roles HTTP/1.1" 200 328 "-" "python-keystoneclient" 20739(us)
10.0.2.15 - - [11/Nov/2015:22:31:29 +0000] "GET /v3/groups/32d072ede9a44d84a68d2f65e14c42c4 HTTP/1.1" 200 220 "-" "python-keystoneclient" 10073(us)
10.0.2.15 - - [11/Nov/2015:22:31:29 +0000] "GET /v3/projects/dc23190b3697437dba126b4ba31496eb HTTP/1.1" 200 260 "-" "python-keystoneclient" 11261(us)
10.0.2.15 - - [11/Nov/2015:22:31:29 +0000] "GET /v3/projects/dc23190b3697437dba126b4ba31496eb/groups/32d072ede9a44d84a68d2f65e14c42c4/roles HTTP/1.1" 200 328 "-" "python-keystoneclient" 19182(us)
10.0.2.15 - - [11/Nov/2015:22:31:30 +0000] "GET /v3/groups/ea7048d6e2f54eefaa41032bd112d0be HTTP/1.1" 200 223 "-" "python-keystoneclient" 14857(us)
10.0.2.15 - - [11/Nov/2015:22:31:30 +0000] "GET /v3/projects/f382be413a074d91bb298f929b51aec7 HTTP/1.1" 200 261 "-" "python-keystoneclient" 12475(us)
10.0.2.15 - - [11/Nov/2015:22:31:30 +0000] "GET /v3/projects/f382be413a074d91bb298f929b51aec7/groups/ea7048d6e2f54eefaa41032bd112d0be/roles HTTP/1.1" 200 181 "-" "python-keystoneclient" 15639(us)
10.0.2.15 - - [11/Nov/2015:22:31:30 +0000] "GET /v3/roles/d03f07ac440542239ec22f75d9785e4b HTTP/1.1" 200 156 "-" "python-keystoneclient" 14073(us)
10.0.2.15 - - [11/Nov/2015:22:31:30 +0000] "GET /v3/groups/ea7048d6e2f54eefaa41032bd112d0be HTTP/1.1" 200 223 "-" "python-keystoneclient" 10321(us)
10.0.2.15 - - [11/Nov/2015:22:31:30 +0000] "GET /v3/projects/f382be413a074d91bb298f929b51aec7 HTTP/1.1" 200 261 "-" "python-keystoneclient" 10151(us)
10.0.2.15 - - [11/Nov/2015:22:31:30 +0000] "PUT /v3/projects/f382be413a074d91bb298f929b51aec7/groups/ea7048d6e2f54eefaa41032bd112d0be/roles/d03f07ac440542239ec22f75d9785e4b HTTP/1.1" 204 - "-" "python-keystoneclient" 21807(us)
10.0.2.15 - - [11/Nov/2015:22:31:31 +0000] "GET /v3/groups/ea7048d6e2f54eefaa41032bd112d0be HTTP/1.1" 200 223 "-" "python-keystoneclient" 12275(us)
10.0.2.15 - - [11/Nov/2015:22:31:31 +0000] "GET /v3/projects/f382be413a074d91bb298f929b51aec7 HTTP/1.1" 200 261 "-" "python-keystoneclient" 11884(us)
10.0.2.15 - - [11/Nov/2015:22:31:31 +0000] "GET /v3/projects/f382be413a074d91bb298f929b51aec7/groups/ea7048d6e2f54eefaa41032bd112d0be/roles HTTP/1.1" 200 327 "-" "python-keystoneclient" 22697(us)
10.0.2.15 - - [11/Nov/2015:22:31:32 +0000] "GET /v3/services/identity HTTP/1.1" 404 93 "-" "python-keystoneclient" 14367(us)
10.0.2.15 - - [11/Nov/2015:22:31:32 +0000] "GET /v3/services?name=identity HTTP/1.1" 200 119 "-" "python-keystoneclient" 13802(us)
10.0.2.15 - - [11/Nov/2015:22:31:32 +0000] "GET /v3/services?type=identity HTTP/1.1" 200 119 "-" "python-keystoneclient" 12880(us)
10.0.2.15 - - [11/Nov/2015:22:31:32 +0000] "POST /v3/services HTTP/1.1" 201 246 "-" "python-keystoneclient" 14512(us)
10.0.2.15 - - [11/Nov/2015:22:31:33 +0000] "GET /v3/services/identity HTTP/1.1" 404 93 "-" "python-keystoneclient" 13750(us)
10.0.2.15 - - [11/Nov/2015:22:31:33 +0000] "GET /v3/services?name=identity HTTP/1.1" 200 119 "-" "python-keystoneclient" 10031(us)
10.0.2.15 - - [11/Nov/2015:22:31:33 +0000] "GET /v3/services?type=identity HTTP/1.1" 200 352 "-" "python-keystoneclient" 10045(us)
10.0.2.15 - - [11/Nov/2015:22:31:33 +0000] "GET /v3/endpoints?interface=public&service_id=59d6461aee514a6b8e0b5a065cf4704c&region_id=RegionOne HTTP/1.1" 200 188 "-" "python-keystoneclient" 12207(us)
10.0.2.15 - - [11/Nov/2015:22:31:34 +0000] "GET /v3/services/identity HTTP/1.1" 404 93 "-" "python-keystoneclient" 12001(us)
10.0.2.15 - - [11/Nov/2015:22:31:34 +0000] "GET /v3/services?name=identity HTTP/1.1" 200 119 "-" "python-keystoneclient" 12677(us)
10.0.2.15 - - [11/Nov/2015:22:31:34 +0000] "GET /v3/services?type=identity HTTP/1.1" 200 352 "-" "python-keystoneclient" 10223(us)
10.0.2.15 - - [11/Nov/2015:22:31:34 +0000] "POST /v3/endpoints HTTP/1.1" 201 323 "-" "python-keystoneclient" 47366(us)
10.0.2.15 - - [11/Nov/2015:22:31:34 +0000] "GET /v3/services/identity HTTP/1.1" 404 93 "-" "python-keystoneclient" 10685(us)
10.0.2.15 - - [11/Nov/2015:22:31:34 +0000] "GET /v3/services?name=identity HTTP/1.1" 200 119 "-" "python-keystoneclient" 16414(us)
10.0.2.15 - - [11/Nov/2015:22:31:34 +0000] "GET /v3/services?type=identity HTTP/1.1" 200 352 "-" "python-keystoneclient" 10192(us)
10.0.2.15 - - [11/Nov/2015:22:31:34 +0000] "GET /v3/endpoints?interface=admin&service_id=59d6461aee514a6b8e0b5a065cf4704c&region_id=RegionOne HTTP/1.1" 200 187 "-" "python-keystoneclient" 17459(us)
10.0.2.15 - - [11/Nov/2015:22:31:35 +0000] "GET /v3/services/identity HTTP/1.1" 404 93 "-" "python-keystoneclient" 10700(us)
10.0.2.15 - - [11/Nov/2015:22:31:35 +0000] "GET /v3/services?name=identity HTTP/1.1" 200 119 "-" "python-keystoneclient" 12786(us)
10.0.2.15 - - [11/Nov/2015:22:31:35 +0000] "GET /v3/services?type=identity HTTP/1.1" 200 352 "-" "python-keystoneclient" 11316(us)
10.0.2.15 - - [11/Nov/2015:22:31:35 +0000] "POST /v3/endpoints HTTP/1.1" 201 323 "-" "python-keystoneclient" 28140(us)
10.0.2.15 - - [11/Nov/2015:22:31:36 +0000] "GET /v3/services/identity HTTP/1.1" 404 93 "-" "python-keystoneclient" 12586(us)
10.0.2.15 - - [11/Nov/2015:22:31:36 +0000] "GET /v3/services?name=identity HTTP/1.1" 200 119 "-" "python-keystoneclient" 9336(us)
10.0.2.15 - - [11/Nov/2015:22:31:36 +0000] "GET /v3/services?type=identity HTTP/1.1" 200 352 "-" "python-keystoneclient" 9809(us)
10.0.2.15 - - [11/Nov/2015:22:31:36 +0000] "GET /v3/endpoints?interface=internal&service_id=59d6461aee514a6b8e0b5a065cf4704c&region_id=RegionOne HTTP/1.1" 200 190 "-" "python-keystoneclient" 11770(us)
10.0.2.15 - - [11/Nov/2015:22:31:36 +0000] "GET /v3/services/identity HTTP/1.1" 404 93 "-" "python-keystoneclient" 13197(us)
10.0.2.15 - - [11/Nov/2015:22:31:36 +0000] "GET /v3/services?name=identity HTTP/1.1" 200 119 "-" "python-keystoneclient" 12957(us)
10.0.2.15 - - [11/Nov/2015:22:31:36 +0000] "GET /v3/services?type=identity HTTP/1.1" 200 352 "-" "python-keystoneclient" 16827(us)
10.0.2.15 - - [11/Nov/2015:22:31:36 +0000] "POST /v3/endpoints HTTP/1.1" 201 325 "-" "python-keystoneclient" 33398(us)
10.0.2.15 - - [11/Nov/2015:22:31:37 +0000] "GET /v3/domains/default HTTP/1.1" 200 216 "-" "python-keystoneclient" 13391(us)
10.0.2.15 - - [11/Nov/2015:22:31:37 +0000] "POST /v3/users HTTP/1.1" 201 196 "-" "python-keystoneclient" 28838(us)
10.0.2.15 - - [11/Nov/2015:22:31:38 +0000] "GET /v3/users/1a894c31e311460f9f19e9667e70bf72 HTTP/1.1" 200 196 "-" "python-keystoneclient" 16063(us)
10.0.2.15 - - [11/Nov/2015:22:31:38 +0000] "GET /v3/projects/service HTTP/1.1" 404 92 "-" "python-keystoneclient" 12360(us)
10.0.2.15 - - [11/Nov/2015:22:31:38 +0000] "GET /v3/projects?name=service HTTP/1.1" 200 368 "-" "python-keystoneclient" 11542(us)
10.0.2.15 - - [11/Nov/2015:22:31:38 +0000] "GET /v3/projects/a7461b49ad284fa196eb70ed9d0a8926/users/1a894c31e311460f9f19e9667e70bf72/roles HTTP/1.1" 200 180 "-" "python-keystoneclient" 15891(us)
10.0.2.15 - - [11/Nov/2015:22:31:38 +0000] "GET /v3/roles/admin HTTP/1.1" 404 87 "-" "python-keystoneclient" 13013(us)
10.0.2.15 - - [11/Nov/2015:22:31:38 +0000] "GET /v3/roles?name=admin HTTP/1.1" 200 256 "-" "python-keystoneclient" 11686(us)
10.0.2.15 - - [11/Nov/2015:22:31:38 +0000] "GET /v3/users/1a894c31e311460f9f19e9667e70bf72 HTTP/1.1" 200 196 "-" "python-keystoneclient" 11509(us)
10.0.2.15 - - [11/Nov/2015:22:31:39 +0000] "GET /v3/projects/service HTTP/1.1" 404 92 "-" "python-keystoneclient" 12358(us)
10.0.2.15 - - [11/Nov/2015:22:31:39 +0000] "GET /v3/projects?name=service HTTP/1.1" 200 368 "-" "python-keystoneclient" 10160(us)
10.0.2.15 - - [11/Nov/2015:22:31:39 +0000] "PUT /v3/projects/a7461b49ad284fa196eb70ed9d0a8926/users/1a894c31e311460f9f19e9667e70bf72/roles/d03f07ac440542239ec22f75d9785e4b HTTP/1.1" 204 - "-" "python-keystoneclient" 23021(us)
10.0.2.15 - - [11/Nov/2015:22:31:39 +0000] "GET /v3/users/1a894c31e311460f9f19e9667e70bf72 HTTP/1.1" 200 196 "-" "python-keystoneclient" 12335(us)
10.0.2.15 - - [11/Nov/2015:22:31:39 +0000] "GET /v3/projects/service HTTP/1.1" 404 92 "-" "python-keystoneclient" 13890(us)
10.0.2.15 - - [11/Nov/2015:22:31:39 +0000] "GET /v3/projects?name=service HTTP/1.1" 200 368 "-" "python-keystoneclient" 10378(us)
